,precision,recall,f1-score,support
bicycle,0.6017316017316018,0.7554347826086957,0.6698795180722892,184.0
boat,0.8345588235294118,0.739413680781759,0.7841105354058722,921.0
bus,0.806841046277666,0.8268041237113402,0.8167006109979633,485.0
car,0.75,0.5428870292887029,0.6298543689320388,956.0
helicopter,0.5739130434782609,0.868421052631579,0.6910994764397905,76.0
minibus,0.4153846153846154,0.6136363636363636,0.4954128440366973,176.0
motorcycle,0.8290766208251473,0.7962264150943397,0.8123195380173244,530.0
taxi,0.35023041474654376,0.7450980392156863,0.47648902821316613,102.0
train,0.4984025559105431,0.7722772277227723,0.6058252427184466,202.0
truck,0.5670588235294117,0.5440180586907449,0.5552995391705069,443.0
accuracy,0.6893251533742332,0.6893251533742332,0.6893251533742332,0.6893251533742332
macro avg,0.6227197545413202,0.7204216773381983,0.6536990702004095,4075.0
weighted avg,0.7193641150195941,0.6893251533742332,0.6946959654320538,4075.0
