class,precision,recall,f1_score,support
bicycle,0.6134453781512605,0.7934782608695652,0.6919431279620853,184.0
boat,0.8339181286549707,0.7741585233441911,0.8029279279279279,921.0
bus,0.8562367864693446,0.8350515463917526,0.8455114822546973,485.0
car,0.7855153203342619,0.5899581589958159,0.6738351254480287,956.0
helicopter,0.75,0.8289473684210527,0.7875,76.0
minibus,0.45652173913043476,0.7159090909090909,0.5575221238938053,176.0
motorcycle,0.8112522686025408,0.8433962264150944,0.8270120259019427,530.0
taxi,0.39893617021276595,0.7352941176470589,0.5172413793103449,102.0
train,0.6491935483870968,0.7970297029702971,0.7155555555555555,202.0
truck,0.5878378378378378,0.5891647855530474,0.588500563697858,443.0
